protein_accession_clean,uniprot_id,gene_symbol,protein_name_uniprot,organism_name,annotation_source
Q14624,ITIH4_HUMAN,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,Homo sapiens,uniprot_api
Q15084,PDIA6_HUMAN,PDIA6,Protein disulfide-isomerase A6,Homo sapiens,uniprot_api
Q14914,PTGR1_HUMAN,PTGR1,Prostaglandin reductase 1,Homo sapiens,uniprot_api
Q14201,BTG3_HUMAN,BTG3,Protein BTG3,Homo sapiens,uniprot_api
Q15125,EBP_HUMAN,EBP,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Homo sapiens,uniprot_api
Q15746,MYLK_HUMAN,MYLK,"Myosin light chain kinase, smooth muscle",Homo sapiens,uniprot_api
Q16629,SRSF7_HUMAN,SRSF7,Serine/arginine-rich splicing factor 7,Homo sapiens,uniprot_api
Q16696,CP2AD_HUMAN,CYP2A13,Cytochrome P450 2A13,Homo sapiens,uniprot_api
Q16777,H2A2C_HUMAN,H2AC20,Histone H2A type 2-C,Homo sapiens,uniprot_api
Q15800,MSMO1_HUMAN,MSMO1,Methylsterol monooxygenase 1,Homo sapiens,uniprot_api
Q16134,ETFD_HUMAN,ETFDH,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",Homo sapiens,uniprot_api
Q16527,CSRP2_HUMAN,CSRP2,Cysteine and glycine-rich protein 2,Homo sapiens,uniprot_api
Q15274,NADC_HUMAN,QPRT,Nicotinate-nucleotide pyrophosphorylase [carboxylating],Homo sapiens,uniprot_api
Q15363,TMED2_HUMAN,TMED2,Transmembrane emp24 domain-containing protein 2,Homo sapiens,uniprot_api
Q15365,PCBP1_HUMAN,PCBP1,Poly(rC)-binding protein 1,Homo sapiens,uniprot_api
Q16698,DECR_HUMAN,DECR1,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial",Homo sapiens,uniprot_api
Q15166,PON3_HUMAN,PON3,Serum paraoxonase/lactonase 3,Homo sapiens,uniprot_api
Q15417,CNN3_HUMAN,CNN3,Calponin-3,Homo sapiens,uniprot_api
Q15436,SC23A_HUMAN,SEC23A,Protein transport protein Sec23A,Homo sapiens,uniprot_api
Q15907,RB11B_HUMAN,RAB11B,Ras-related protein Rab-11B,Homo sapiens,uniprot_api
Q15717,ELAV1_HUMAN,ELAVL1,ELAV-like protein 1,Homo sapiens,uniprot_api
Q15828,CYTM_HUMAN,CST6,Cystatin-M,Homo sapiens,uniprot_api
Q16762,THTR_HUMAN,TST,Thiosulfate sulfurtransferase,Homo sapiens,uniprot_api
Q16772,GSTA3_HUMAN,GSTA3,Glutathione S-transferase A3,Homo sapiens,uniprot_api
Q15393,SF3B3_HUMAN,SF3B3,Splicing factor 3B subunit 3,Homo sapiens,uniprot_api
Q15646,OASL_HUMAN,OASL,2'-5'-oligoadenylate synthase-like protein,Homo sapiens,uniprot_api
Q16775,GLO2_HUMAN,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",Homo sapiens,uniprot_api
Q15392,DHC24_HUMAN,DHCR24,Delta(24)-sterol reductase,Homo sapiens,uniprot_api
