protein_accession_clean,uniprot_id,gene_symbol,protein_name_uniprot,organism_name,annotation_source
P31153,METK2_HUMAN,MAT2A,S-adenosylmethionine synthase isoform type-2,Homo sapiens,uniprot_api
P31513,FMO3_HUMAN,FMO3,Flavin-containing monooxygenase 3,Homo sapiens,uniprot_api
P29692,EF1D_HUMAN,EEF1D,Elongation factor 1-delta,Homo sapiens,uniprot_api
P30048,PRDX3_HUMAN,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",Homo sapiens,uniprot_api
P30050,RL12_HUMAN,RPL12,Large ribosomal subunit protein uL11,Homo sapiens,uniprot_api
P34741,SDC2_HUMAN,SDC2,Syndecan-2,Homo sapiens,uniprot_api
P32754,HPPD_HUMAN,HPD,4-hydroxyphenylpyruvate dioxygenase,Homo sapiens,uniprot_api
P34897,GLYM_HUMAN,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",Homo sapiens,uniprot_api
P35326,SPR2A_HUMAN,SPRR2A,Small proline-rich protein 2A,Homo sapiens,uniprot_api
P31943,HNRH1_HUMAN,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,Homo sapiens,uniprot_api
P33151,CADH5_HUMAN,CDH5,Cadherin-5,Homo sapiens,uniprot_api
P35609,ACTN2_HUMAN,ACTN2,Alpha-actinin-2,Homo sapiens,uniprot_api
P31930,QCR1_HUMAN,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",Homo sapiens,uniprot_api
P35580,MYH10_HUMAN,MYH10,Myosin-10,Homo sapiens,uniprot_api
P32119,PRDX2_HUMAN,PRDX2,Peroxiredoxin-2,Homo sapiens,uniprot_api
P35080,PROF2_HUMAN,PFN2,Profilin-2,Homo sapiens,uniprot_api
P35520,CBS_HUMAN,CBS,Cystathionine beta-synthase,Homo sapiens,uniprot_api
P35606,COPB2_HUMAN,COPB2,Coatomer subunit beta',Homo sapiens,uniprot_api
P32969,RL9_HUMAN,RPL9,Large ribosomal subunit protein uL6,Homo sapiens,uniprot_api
P33261,CP2CJ_HUMAN,CYP2C19,Cytochrome P450 2C19,Homo sapiens,uniprot_api
P35268,RL22_HUMAN,RPL22,Large ribosomal subunit protein eL22,Homo sapiens,uniprot_api
P35527,K1C9_HUMAN,KRT9,"Keratin, type I cytoskeletal 9",Homo sapiens,uniprot_api
P34896,GLYC_HUMAN,SHMT1,"Serine hydroxymethyltransferase, cytosolic",Homo sapiens,uniprot_api
P35579,MYH9_HUMAN,MYH9,Myosin-9,Homo sapiens,uniprot_api
P33121,ACSL1_HUMAN,ACSL1,Long-chain-fatty-acid--CoA ligase 1,Homo sapiens,uniprot_api
P35557,HXK4_HUMAN,GCK,Hexokinase-4,Homo sapiens,uniprot_api
P35558,PCKGC_HUMAN,PCK1,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",Homo sapiens,uniprot_api
P31942,HNRH3_HUMAN,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,Homo sapiens,uniprot_api
P35030,TRY3_HUMAN,PRSS3,Trypsin-3,Homo sapiens,uniprot_api
P35325,SPR2B_HUMAN,SPRR2B,Small proline-rich protein 2B,Homo sapiens,uniprot_api
P35900,K1C20_HUMAN,KRT20,"Keratin, type I cytoskeletal 20",Homo sapiens,uniprot_api
P40123,CAP2_HUMAN,CAP2,Adenylyl cyclase-associated protein 2,Homo sapiens,uniprot_api
P35914,HMGCL_HUMAN,HMGCL,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",Homo sapiens,uniprot_api
P36776,LONM_HUMAN,LONP1,"Lon protease homolog, mitochondrial",Homo sapiens,uniprot_api
P36871,PGM1_HUMAN,PGM1,Phosphoglucomutase-1,Homo sapiens,uniprot_api
P37059,DHB2_HUMAN,HSD17B2,17-beta-hydroxysteroid dehydrogenase type 2,Homo sapiens,uniprot_api
P39019,RS19_HUMAN,RPS19,Small ribosomal subunit protein eS19,Homo sapiens,uniprot_api
P39023,RL3_HUMAN,RPL3,Large ribosomal subunit protein uL3,Homo sapiens,uniprot_api
P35908,K22E_HUMAN,KRT2,"Keratin, type II cytoskeletal 2 epidermal",Homo sapiens,uniprot_api
P39687,AN32A_HUMAN,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A,Homo sapiens,uniprot_api
P35659,DEK_HUMAN,DEK,Protein DEK,Homo sapiens,uniprot_api
P36542,ATPG_HUMAN,ATP5F1C,"ATP synthase F(1) complex subunit gamma, mitochondrial",Homo sapiens,uniprot_api
P36578,RL4_HUMAN,RPL4,Large ribosomal subunit protein uL4,Homo sapiens,uniprot_api
P37108,SRP14_HUMAN,SRP14,Signal recognition particle 14 kDa protein,Homo sapiens,uniprot_api
P38117,ETFB_HUMAN,ETFB,Electron transfer flavoprotein subunit beta,Homo sapiens,uniprot_api
P39060,COIA1_HUMAN,COL18A1,Collagen alpha-1(XVIII) chain,Homo sapiens,uniprot_api
P35998,PRS7_HUMAN,PSMC2,26S proteasome regulatory subunit 7,Homo sapiens,uniprot_api
P36957,ODO2_HUMAN,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Homo sapiens,uniprot_api
P38646,HSPA9_HUMAN,HSPA9,"Stress-70 protein, mitochondrial",Homo sapiens,uniprot_api
P40227,TCPZ_HUMAN,CCT6A,T-complex protein 1 subunit zeta,Homo sapiens,uniprot_api
P37268,FDFT_HUMAN,FDFT1,Squalene synthase,Homo sapiens,uniprot_api
P38606,VATA_HUMAN,ATP6V1A,V-type proton ATPase catalytic subunit A,Homo sapiens,uniprot_api
P40189,IL6RB_HUMAN,IL6ST,Interleukin-6 receptor subunit beta,Homo sapiens,uniprot_api
P35749,MYH11_HUMAN,MYH11,Myosin-11,Homo sapiens,uniprot_api
P36537,UDB10_HUMAN,UGT2B10,UDP-glucuronosyltransferase 2B10,Homo sapiens,uniprot_api
P46781,RS9_HUMAN,RPS9,Small ribosomal subunit protein uS4,Homo sapiens,uniprot_api
P40429,RL13A_HUMAN,RPL13A,Large ribosomal subunit protein uL13,Homo sapiens,uniprot_api
P41091,IF2G_HUMAN,EIF2S3,Eukaryotic translation initiation factor 2 subunit 3,Homo sapiens,uniprot_api
P42330,AK1C3_HUMAN,AKR1C3,Aldo-keto reductase family 1 member C3,Homo sapiens,uniprot_api
P42765,THIM_HUMAN,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",Homo sapiens,uniprot_api
P46777,RL5_HUMAN,RPL5,Large ribosomal subunit protein uL18,Homo sapiens,uniprot_api
P41222,PTGDS_HUMAN,PTGDS,Prostaglandin-H2 D-isomerase,Homo sapiens,uniprot_api
P45954,ACDSB_HUMAN,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",Homo sapiens,uniprot_api
P46087,NOP2_HUMAN,NOP2,28S rRNA (cytosine(4447)-C(5))-methyltransferase,Homo sapiens,uniprot_api
P46778,RL21_HUMAN,RPL21,Large ribosomal subunit protein eL21,Homo sapiens,uniprot_api
P46779,RL28_HUMAN,RPL28,Large ribosomal subunit protein eL28,Homo sapiens,uniprot_api
P42677,RS27_HUMAN,RPS27,Small ribosomal subunit protein eS27,Homo sapiens,uniprot_api
P42704,LPPRC_HUMAN,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",Homo sapiens,uniprot_api
P42766,RL35_HUMAN,RPL35,Large ribosomal subunit protein uL29,Homo sapiens,uniprot_api
P46776,RL27A_HUMAN,RPL27A,Large ribosomal subunit protein uL15,Homo sapiens,uniprot_api
P40261,NNMT_HUMAN,NNMT,Nicotinamide N-methyltransferase,Homo sapiens,uniprot_api
P40939,ECHA_HUMAN,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",Homo sapiens,uniprot_api
P41250,GARS_HUMAN,GARS1,Glycine--tRNA ligase,Homo sapiens,uniprot_api
P42785,PCP_HUMAN,PRCP,Lysosomal Pro-X carboxypeptidase,Homo sapiens,uniprot_api
P43490,NAMPT_HUMAN,NAMPT,Nicotinamide phosphoribosyltransferase,Homo sapiens,uniprot_api
P43686,PRS6B_HUMAN,PSMC4,26S proteasome regulatory subunit 6B,Homo sapiens,uniprot_api
P40763,STAT3_HUMAN,STAT3,Signal transducer and activator of transcription 3,Homo sapiens,uniprot_api
P40616,ARL1_HUMAN,ARL1,ADP-ribosylation factor-like protein 1,Homo sapiens,uniprot_api
P41229,KDM5C_HUMAN,KDM5C,Lysine-specific demethylase 5C,Homo sapiens,uniprot_api
P43307,SSRA_HUMAN,SSR1,Translocon-associated protein subunit alpha,Homo sapiens,uniprot_api
P46783,RS10_HUMAN,RPS10,Small ribosomal subunit protein eS10,Homo sapiens,uniprot_api
P47756,CAPZB_HUMAN,CAPZB,F-actin-capping protein subunit beta,Homo sapiens,uniprot_api
P47914,RL29_HUMAN,RPL29,Large ribosomal subunit protein eL29,Homo sapiens,uniprot_api
P48735,IDHP_HUMAN,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",Homo sapiens,uniprot_api
P49189,AL9A1_HUMAN,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase,Homo sapiens,uniprot_api
P46940,IQGA1_HUMAN,IQGAP1,Ras GTPase-activating-like protein IQGAP1,Homo sapiens,uniprot_api
P47897,SYQ_HUMAN,QARS1,Glutamine--tRNA ligase,Homo sapiens,uniprot_api
P48448,AL3B2_HUMAN,ALDH3B2,Aldehyde dehydrogenase family 3 member B2,Homo sapiens,uniprot_api
P48668,K2C6C_HUMAN,KRT6C,"Keratin, type II cytoskeletal 6C",Homo sapiens,uniprot_api
P49207,RL34_HUMAN,RPL34,Large ribosomal subunit protein eL34,Homo sapiens,uniprot_api
P49257,LMAN1_HUMAN,LMAN1,Protein ERGIC-53,Homo sapiens,uniprot_api
P49327,FAS_HUMAN,FASN,Fatty acid synthase,Homo sapiens,uniprot_api
P48643,TCPE_HUMAN,CCT5,T-complex protein 1 subunit epsilon,Homo sapiens,uniprot_api
P49368,TCPG_HUMAN,CCT3,T-complex protein 1 subunit gamma,Homo sapiens,uniprot_api
P49411,EFTU_HUMAN,TUFM,"Elongation factor Tu, mitochondrial",Homo sapiens,uniprot_api
P46782,RS5_HUMAN,RPS5,Small ribosomal subunit protein uS7,Homo sapiens,uniprot_api
P47755,CAZA2_HUMAN,CAPZA2,F-actin-capping protein subunit alpha-2,Homo sapiens,uniprot_api
P48047,ATPO_HUMAN,ATP5PO,"ATP synthase peripheral stalk subunit OSCP, mitochondrial",Homo sapiens,uniprot_api
P48443,RXRG_HUMAN,RXRG,Retinoic acid receptor RXR-gamma,Homo sapiens,uniprot_api
P49326,FMO5_HUMAN,FMO5,Flavin-containing monooxygenase 5,Homo sapiens,uniprot_api
P48449,LSS_HUMAN,LSS,Lanosterol synthase,Homo sapiens,uniprot_api
P48507,GSH0_HUMAN,GCLM,Glutamate--cysteine ligase regulatory subunit,Homo sapiens,uniprot_api
P47893,OR3A2_HUMAN,OR3A2,Olfactory receptor 3A2,Homo sapiens,uniprot_api
P47888,OR3A3_HUMAN,OR3A3,Olfactory receptor 3A3,Homo sapiens,uniprot_api
P48741,HSP77_HUMAN,HSPA7,Putative heat shock 70 kDa protein 7,Homo sapiens,uniprot_api
P49458,SRP09_HUMAN,SRP9,Signal recognition particle 9 kDa protein,Homo sapiens,uniprot_api
P49908,SEPP1_HUMAN,SELENOP,Selenoprotein P,Homo sapiens,uniprot_api
P50226,ST1A2_HUMAN,SULT1A2,Sulfotransferase 1A2,Homo sapiens,uniprot_api
P50416,CPT1A_HUMAN,CPT1A,"Carnitine O-palmitoyltransferase 1, liver isoform",Homo sapiens,uniprot_api
P50993,AT1A2_HUMAN,ATP1A2,Sodium/potassium-transporting ATPase subunit alpha-2,Homo sapiens,uniprot_api
P51114,FXR1_HUMAN,FXR1,RNA-binding protein FXR1,Homo sapiens,uniprot_api
P49588,SYAC_HUMAN,AARS1,"Alanine--tRNA ligase, cytoplasmic",Homo sapiens,uniprot_api
P49755,TMEDA_HUMAN,TMED10,Transmembrane emp24 domain-containing protein 10,Homo sapiens,uniprot_api
P50053,KHK_HUMAN,KHK,Ketohexokinase,Homo sapiens,uniprot_api
P50991,TCPD_HUMAN,CCT4,T-complex protein 1 subunit delta,Homo sapiens,uniprot_api
P51148,RAB5C_HUMAN,RAB5C,Ras-related protein Rab-5C,Homo sapiens,uniprot_api
P51149,RAB7A_HUMAN,RAB7A,Ras-related protein Rab-7a,Homo sapiens,uniprot_api
P51153,RAB13_HUMAN,RAB13,Ras-related protein Rab-13,Homo sapiens,uniprot_api
P49419,AL7A1_HUMAN,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase,Homo sapiens,uniprot_api
P49448,DHE4_HUMAN,GLUD2,"Glutamate dehydrogenase 2, mitochondrial",Homo sapiens,uniprot_api
P51570,GALK1_HUMAN,GALK1,Galactokinase,Homo sapiens,uniprot_api
P51572,BAP31_HUMAN,BCAP31,B-cell receptor-associated protein 31,Homo sapiens,uniprot_api
P50502,F10A1_HUMAN,ST13,Hsc70-interacting protein,Homo sapiens,uniprot_api
P50613,CDK7_HUMAN,CDK7,Cyclin-dependent kinase 7,Homo sapiens,uniprot_api
P50990,TCPQ_HUMAN,CCT8,T-complex protein 1 subunit theta,Homo sapiens,uniprot_api
P51589,CP2J2_HUMAN,CYP2J2,Cytochrome P450 2J2,Homo sapiens,uniprot_api
P50225,ST1A1_HUMAN,SULT1A1,Sulfotransferase 1A1,Homo sapiens,uniprot_api
P50914,RL14_HUMAN,RPL14,Large ribosomal subunit protein eL14,Homo sapiens,uniprot_api
P49748,ACADV_HUMAN,ACADVL,"Very long-chain acyl-CoA dehydrogenase, mitochondrial",Homo sapiens,uniprot_api
P50440,GATM_HUMAN,GATM,"Glycine amidinotransferase, mitochondrial",Homo sapiens,uniprot_api
P52597,HNRPF_HUMAN,HNRNPF,Heterogeneous nuclear ribonucleoprotein F,Homo sapiens,uniprot_api
P55036,PSMD4_HUMAN,PSMD4,26S proteasome non-ATPase regulatory subunit 4,Homo sapiens,uniprot_api
P51648,AL3A2_HUMAN,ALDH3A2,Aldehyde dehydrogenase family 3 member A2,Homo sapiens,uniprot_api
P51884,LUM_HUMAN,LUM,Lumican,Homo sapiens,uniprot_api
P53618,COPB_HUMAN,COPB1,Coatomer subunit beta,Homo sapiens,uniprot_api
P54855,UDB15_HUMAN,UGT2B15,UDP-glucuronosyltransferase 2B15,Homo sapiens,uniprot_api
P55072,TERA_HUMAN,VCP,Transitional endoplasmic reticulum ATPase,Homo sapiens,uniprot_api
P51659,DHB4_HUMAN,HSD17B4,Peroxisomal multifunctional enzyme type 2,Homo sapiens,uniprot_api
P52895,AK1C2_HUMAN,AKR1C2,Aldo-keto reductase family 1 member C2,Homo sapiens,uniprot_api
P53621,COPA_HUMAN,COPA,Coatomer subunit alpha,Homo sapiens,uniprot_api
P54652,HSP72_HUMAN,HSPA2,Heat shock-related 70 kDa protein 2,Homo sapiens,uniprot_api
P53675,CLH2_HUMAN,CLTCL1,Clathrin heavy chain 2,Homo sapiens,uniprot_api
P54868,HMCS2_HUMAN,HMGCS2,"Hydroxymethylglutaryl-CoA synthase, mitochondrial",Homo sapiens,uniprot_api
P53007,TXTP_HUMAN,SLC25A1,"Tricarboxylate transport protein, mitochondrial",Homo sapiens,uniprot_api
P53999,TCP4_HUMAN,SUB1,Activated RNA polymerase II transcriptional coactivator p15,Homo sapiens,uniprot_api
P55058,PLTP_HUMAN,PLTP,Phospholipid transfer protein,Homo sapiens,uniprot_api
P51690,ARSL_HUMAN,ARSL,Arylsulfatase L,Homo sapiens,uniprot_api
P51991,ROA3_HUMAN,HNRNPA3,Heterogeneous nuclear ribonucleoprotein A3,Homo sapiens,uniprot_api
P52294,IMA5_HUMAN,KPNA1,Importin subunit alpha-5,Homo sapiens,uniprot_api
P53597,SUCA_HUMAN,SUCLG1,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",Homo sapiens,uniprot_api
P52272,HNRPM_HUMAN,HNRNPM,Heterogeneous nuclear ribonucleoprotein M,Homo sapiens,uniprot_api
P51857,AK1D1_HUMAN,AKR1D1,Aldo-keto reductase family 1 member D1,Homo sapiens,uniprot_api
